k,p,member,base,difference,additive,multiplicative,exponential_E1,exponential_E2,K_pure,K_royal_addition,K_royal_flat
16010,486955451,486955459,486955457,2,486955457 + 2,,,,,,
16011,486962681,486962681,486955459,7222,486955459 + 5659 + 1489 + 19 + 17 + (5*7) + 3,486955459 + (3469*2) + (19*13) + (7*3) + 11 + 5,486955459 + (19^3) + (13^2) + (17*11) + 7,486955459 + (19^3) + (13^2) + (17*11) + 7,4,4,4
16011,486962681,486962683,486962681,2,486962681 + 2,,,,,,
16011,486962681,486962687,486962681,6,486962681 + (2*3),,,,,,
16011,486962681,486962689,486962687,2,486962687 + 2,,,,,,
16012,486999971,486999971,486962689,37282,486962689 + 34849 + 2089 + 199 + 109 + 19 + 17,486962689 + (18049*2) + (199*5) + (19*7) + (13*3) + 17,486962689 + (193^2) + (11*3),486962689 + (193^2) + (11*3),4,4,4
16012,486999971,486999973,486999971,2,486999971 + 2,,,,,,
16012,486999971,486999977,486999971,6,486999971 + (2*3),,,,,,
16012,486999971,486999979,486999977,2,486999977 + 2,,,,,,
16013,487027901,487027901,486999979,27922,486999979 + 25309 + 2089 + 199 + 197 + 109 + 19,486999979 + (13009*2) + (199*7) + (109*3) + (13*11) + 19 + 17 + 5,486999979 + (109^2) + (19^3) + (1489*5) + (193*7) + (17*11) + 199,486999979 + (7^5) + (103^2) + (109*3) + (13*11) + 19 + 17,2,2,2
16013,487027901,487027903,487027901,2,487027901 + 2,,,,,,
16013,487027901,487027907,487027901,6,487027901 + (2*3),,,,,,
16013,487027901,487027909,487027907,2,487027907 + 2,,,,,,
16014,487041671,487041671,487027909,13762,487027909 + 13009 + 199 + 197 + 193 + 109 + 19 + 17 + (2*7) + 5,487027909 + (5659*2) + (199*11) + (19*13) + 5 + 3,487027909 + (109^2) + (11^3) + (19*13) + 197 + 101 + 5,487027909 + (109^2) + (11^3) + (19*13) + 197 + 101 + 5,6,5,4
16014,487041671,487041673,487041671,2,487041671 + 2,,,,,,
16014,487041671,487041677,487041671,6,487041671 + (2*3),,,,,,
16014,487041671,487041679,487041677,2,487041677 + 2,,,,,,
16015,487070951,487070951,487041679,29272,487041679 + 25309 + 3469 + 199 + 197 + 19 + 17 + 13 + 11 + (5*7) + 3,487041679 + (13009*2) + (829*3) + (109*5) + (19*11) + 13,487041679 + (109^2) + (19^3) + (2081*5) + 107 + 13 + 7,487041679 + (7^5) + (109^2) + (191*3) + 11,4,4,4
16015,487070951,487070953,487070951,2,487070951 + 2,,,,,,
16015,487070951,487070957,487070951,6,487070951 + (2*3),,,,,,
16015,487070951,487070959,487070957,2,487070957 + 2,,,,,,
16016,487126091,487126091,487070959,55132,487070959 + 51349 + 3469 + 199 + 109 + (2*3),487070959 + (25309*2) + (1489*3) + 19 + 17 + 11,487070959 + (199^2) + (19^3) + (1489*5) + (109*7) + (13*11) + 197 + 107 + 17,487070959 + (199^2) + (19^3) + (1489*5) + (109*7) + (13*11) + 197 + 107 + 17,4,4,4
16016,487126091,487126093,487126091,2,487126091 + 2,,,,,,
16016,487126091,487126097,487126091,6,487126091 + (2*3),,,,,,
16016,487126091,487126099,487126097,2,487126097 + 2,,,,,,
16017,487131341,487131341,487126099,5242,487126099 + 3469 + 1489 + 199 + 19 + 17 + 11 + (5*7) + 3,487126099 + (2089*2) + (199*5) + (17*3) + 11 + 7,487126099 + (19^2) + (13^3) + (199*11) + (17*5) + 193 + 109 + 101 + 7,487126099 + (17^3) + (11^2) + 107 + 101,4,4,4
16017,487131341,487131343,487131341,2,487131341 + 2,,,,,,
16017,487131341,487131347,487131341,6,487131341 + (2*3),,,,,,
16017,487131341,487131349,487131347,2,487131347 + 2,,,,,,
16018,487213871,487213871,487131349,82522,487131349 + 81049 + 829 + 199 + 197 + 193 + 19 + 17 + (2*7) + 5,487131349 + (34849*2) + (3469*3) + (199*11) + (19*5) + 109 + 17 + 7,487131349 + (199^2) + (19^3) + (7^5) + (1489*11) + (197*13) + 191 + 107 + 17,487131349 + (5^7) + (13^3) + (19^2) + (101*11) + 199 + 193 + 109 + 107 + 103 + 17,2,2,2
16018,487213871,487213873,487213871,2,487213871 + 2,,,,,,
16018,487213871,487213877,487213871,6,487213871 + (2*3),,,,,,
16018,487213871,487213879,487213877,2,487213877 + 2,,,,,,
16019,487220801,487220801,487213879,6922,487213879 + 5659 + 829 + 199 + 197 + (5*7) + 3,487213879 + (3461*2),487213879 + (19^3) + (2^5) + 13 + 11 + 7,487213879 + (19^3) + (2^5) + 13 + 11 + 7,4,4,4
16019,487220801,487220803,487220801,2,487220801 + 2,,,,,,
16019,487220801,487220807,487220801,6,487220801 + (2*3),,,,,,
16019,487220801,487220809,487220807,2,487220807 + 2,,,,,,
16020,487224971,487224971,487220809,4162,487220809 + 3469 + 199 + 197 + 193 + 101 + 3,487220809 + (2081*2),487220809 + (19^2) + (13^3) + (199*5) + 197 + 193 + 191 + 17 + 11,487220809 + (13^3) + (19^2) + (199*5) + 197 + 193 + 191 + 17 + 11,4,4,4
16020,487224971,487224973,487224971,2,487224971 + 2,,,,,,
16020,487224971,487224977,487224971,6,487224971 + (2*3),,,,,,
16020,487224971,487224979,487224977,2,487224977 + 2,,,,,,
16021,487249571,487249571,487224979,24592,487224979 + 22279 + 2089 + 199 + 19 + (2*3),487224979 + (9439*2) + (1879*3) + (11*7),487224979 + (109^2) + (19^3) + (829*5) + (197*7) + (17*13) + 107,487224979 + (7^5) + (19^3) + (17^2) + 193 + 109 + 107 + 103 + 101 + 13 + 11,4,3,3
16021,487249571,487249573,487249571,2,487249571 + 2,,,,,,
16021,487249571,487249577,487249571,6,487249571 + (2*3),,,,,,
16021,487249571,487249579,487249577,2,487249577 + 2,,,,,,
16022,487327361,487327361,487249579,77782,487249579 + 77269 + 199 + 197 + 109 + 5 + 3,487249579 + (34849*2) + (2089*3) + (199*7) + (19*17) + 101,487249579 + (199^2) + (19^3) + (7^5) + (829*17) + 197 + 109 + 103 + 13,487249579 + (199^2) + (7^5) + (19^3) + (829*17) + 197 + 109 + 103 + 13,4,4,4
16022,487327361,487327363,487327361,2,487327361 + 2,,,,,,
16022,487327361,487327367,487327361,6,487327361 + (2*3),,,,,,
16022,487327361,487327369,487327367,2,487327367 + 2,,,,,,
16023,487341521,487341521,487327369,14152,487327369 + 13009 + 829 + 199 + 109 + (2*3),487327369 + (5659*2) + (829*3) + (19*17) + 13 + 11,487327369 + (109^2) + (13^3) + (11*5) + 19,487327369 + (109^2) + (13^3) + (11*5) + 19,6,5,5
16023,487341521,487341523,487341521,2,487341521 + 2,,,,,,
16023,487341521,487341527,487341521,6,487341521 + (2*3),,,,,,
16023,487341521,487341529,487341527,2,487341527 + 2,,,,,,
16024,487372511,487372511,487341529,30982,487341529 + 25309 + 5659 + 7 + 5 + 2,487341529 + (13009*2) + (1489*3) + (19*17) + (13*5) + 109,487341529 + (109^2) + (19^3) + (2089*5) + (199*7) + (17*11) + 103 + 101 + 13,487341529 + (7^5) + (109^2) + (11^3) + (19*13) + 197 + 191 + 107 + 103 + 101 + 17,4,3,3
16024,487372511,487372513,487372511,2,487372511 + 2,,,,,,
16024,487372511,487372517,487372511,6,487372511 + (2*3),,,,,,
16024,487372511,487372519,487372517,2,487372517 + 2,,,,,,
16025,487421741,487421741,487372519,49222,487372519 + 43789 + 3469 + 1879 + 19 + 17 + 11 + (5*7) + 3,487372519 + (22279*2) + (1489*3) + (19*5) + (13*7) + 11,487372519 + (199^2) + (19^3) + (197*13) + (17*5) + 109 + 7,487372519 + (199^2) + (19^3) + (197*13) + (17*5) + 109 + 7,4,4,4
16025,487421741,487421743,487421741,2,487421741 + 2,,,,,,
16025,487421741,487421747,487421741,6,487421741 + (2*3),,,,,,
16025,487421741,487421749,487421747,2,487421747 + 2,,,,,,
16026,487463021,487463021,487421749,41272,487421749 + 34849 + 5659 + 199 + 197 + 193 + 109 + 19 + 17 + 13 + 7 + 5 + 3 + 2,487421749 + (19429*2) + (199*11) + (19*5) + (7*3) + 109,487421749 + (199^2) + (11^3) + (19*7) + (17*5) + 109 + 13,487421749 + (199^2) + (11^3) + (19*7) + (17*5) + 109 + 13,4,4,4
16026,487463021,487463023,487463021,2,487463021 + 2,,,,,,
16026,487463021,487463027,487463021,6,487463021 + (2*3),,,,,,
16026,487463021,487463029,487463027,2,487463027 + 2,,,,,,
16027,487468901,487468901,487463029,5872,487463029 + 5659 + 199 + 7 + 5 + 2,487463029 + (2089*2) + (199*7) + (19*5) + 193 + 13,487463029 + (19^2) + (17^3) + (13*11) + (7*5) + 109 + 107 + 103 + 101,487463029 + (17^3) + (19^2) + (13*11) + (7*5) + 109 + 107 + 103 + 101,4,3,3
16027,487468901,487468903,487468901,2,487468901 + 2,,,,,,
16027,487468901,487468907,487468901,6,487468901 + (2*3),,,,,,
16027,487468901,487468909,487468907,2,487468907 + 2,,,,,,
16028,487483691,487483691,487468909,14782,487468909 + 13009 + 1489 + 199 + 19 + 17 + 11 + (5*7) + 3,487468909 + (5659*2) + (829*3) + (109*7) + (19*11) + 5,487468909 + (109^2) + (13^3) + (101*5) + (11*7) + 103 + 19,487468909 + (109^2) + (13^3) + (101*5) + (11*7) + 103 + 19,4,4,4
16028,487483691,487483693,487483691,2,487483691 + 2,,,,,,
16028,487483691,487483697,487483691,6,487483691 + (2*3),,,,,,
16028,487483691,487483699,487483697,2,487483697 + 2,,,,,,
16029,487530311,487530311,487483699,46612,487483699 + 43789 + 2089 + 199 + 197 + 193 + 109 + 19 + 17,487483699 + (22279*2) + (199*7) + (193*3) + (13*5) + 17,487483699 + (199^2) + (17^3) + (197*7) + (103*5) + 193 + 11,487483699 + (199^2) + (17^3) + (197*7) + (103*5) + 193 + 11,4,4,4
16029,487530311,487530313,487530311,2,487530311 + 2,,,,,,
16029,487530311,487530317,487530311,6,487530311 + (2*3),,,,,,
16029,487530311,487530319,487530317,2,487530317 + 2,,,,,,
16030,487694021,487694021,487530319,163702,487530319 + 157279 + 5659 + 199 + 197 + 193 + 109 + 19 + 17 + 13 + 7 + 5 + 3 + 2,487530319 + (81049*2) + (199*7) + (19*5) + 103 + 13,487530319 + (199^2) + (19^3) + (7^5) + (5659*17) + (197*11) + 829 + 827 + 193 + 109 + 107,487530319 + (11^5) + (13^3) + (7^2) + 197 + 191 + 17,4,4,4
16030,487694021,487694023,487694021,2,487694021 + 2,,,,,,
16030,487694021,487694027,487694021,6,487694021 + (2*3),,,,,,
16030,487694021,487694029,487694027,2,487694027 + 2,,,,,,
16031,487778321,487778321,487694029,84292,487694029 + 82729 + 1489 + 19 + 17 + (5*7) + 3,487694029 + (34849*2) + (3469*3) + (199*19) + (17*13) + (11*7) + 103 + 5,487694029 + (199^2) + (19^3) + (7^5) + (1873*11) + 197 + 109 + 103 + 13,487694029 + (5^7) + (17^3) + (11^2) + 829 + 197 + 107,2,2,2
16031,487778321,487778323,487778321,2,487778321 + 2,,,,,,
16031,487778321,487778327,487778321,6,487778321 + (2*3),,,,,,
16031,487778321,487778329,487778327,2,487778327 + 2,,,,,,
16032,487779701,487779701,487778329,1372,487778329 + 829 + 199 + 197 + 109 + (5*7) + 3,487778329 + (199*5) + (109*3) + (13*2) + 17 + 7,487778329 + (19^2) + (7^3) + (107*5) + 109 + 13 + 11,487778329 + (11^3) + (17*2) + 7,8,7,5
16032,487779701,487779703,487779701,2,487779701 + 2,,,,,,
16032,487779701,487779707,487779701,6,487779701 + (2*3),,,,,,
16032,487779701,487779709,487779707,2,487779707 + 2,,,,,,
16033,487812041,487812041,487779709,32332,487779709 + 31729 + 199 + 197 + 193 + 7 + 5 + 2,487779709 + (16069*2) + (19*7) + (13*3) + 17 + 5,487779709 + (109^2) + (19^3) + (2089*5) + (199*11) + 827 + 107 + 17 + 7,487779709 + (7^5) + (109^2) + (13^3) + (101*11) + 197 + 103 + 19 + 17,4,4,4
16033,487812041,487812043,487812041,2,487812041 + 2,,,,,,
16033,487812041,487812047,487812041,6,487812041 + (2*3),,,,,,
16033,487812041,487812049,487812047,2,487812047 + 2,,,,,,
16034,487814441,487814441,487812049,2392,487812049 + 2089 + 199 + 101 + 3,487812049 + (829*2) + (199*3) + (17*7) + 13 + 5,487812049 + (19^2) + (11^3) + (17*7) + (13*5) + 199 + 109 + 107 + 101,487812049 + (13^3) + (2^5) + 109 + 19 + 17 + 11 + 7,4,4,4
16034,487814441,487814443,487814441,2,487814441 + 2,,,,,,
16034,487814441,487814447,487814441,6,487814441 + (2*3),,,,,,
16034,487814441,487814449,487814447,2,487814447 + 2,,,,,,
16035,487817591,487817591,487814449,3142,487814449 + 2089 + 829 + 199 + 19 + (2*3),487814449 + (1489*2) + (19*7) + 17 + 11 + 3,487814449 + (19^2) + (13^3) + (17*11) + 199 + 193 + 5,487814449 + (13^3) + (19^2) + (17*11) + 199 + 193 + 5,4,4,4
16035,487817591,487817593,487817591,2,487817591 + 2,,,,,,
16035,487817591,487817597,487817591,6,487817591 + (2*3),,,,,,
16035,487817591,487817599,487817597,2,487817597 + 2,,,,,,
16036,487945691,487945691,487817599,128092,487817599 + 122209 + 5659 + 199 + 19 + (2*3),487817599 + (62989*2) + (199*7) + (197*3) + 101 + 13 + 11 + 5,487817599 + (199^2) + (19^3) + (7^5) + (5659*11) + (103*13) + 821 + 191 + 107 + 101 + 17,487817599 + (5^7) + (199^2) + (19^3) + (197*11) + (17*13) + 827 + 191 + 101,4,4,4
16036,487945691,487945693,487945691,2,487945691 + 2,,,,,,
16036,487945691,487945697,487945691,6,487945691 + (2*3),,,,,,
16036,487945691,487945699,487945697,2,487945697 + 2,,,,,,
16037,487969871,487969871,487945699,24172,487945699 + 22279 + 1879 + 7 + 5 + 2,487945699 + (9439*2) + (1489*3) + (109*5) + (19*13) + 17 + 11 + 7,487945699 + (109^2) + (19^3) + (829*5) + (107*11) + 103 + 7,487945699 + (7^5) + (19^3) + (17^2) + 193 + 13 + 11,4,3,3
16037,487969871,487969873,487969871,2,487969871 + 2,,,,,,
16037,487969871,487969877,487969871,6,487969871 + (2*3),,,,,,
16037,487969871,487969879,487969877,2,487969877 + 2,,,,,,
16038,488021951,488021951,487969879,52072,487969879 + 51349 + 199 + 197 + 193 + 109 + 19 + (2*3),487969879 + (25309*2) + (199*7) + (13*3) + 17 + 5,487969879 + (199^2) + (19^3) + (829*5) + (193*7) + 103 + 13,487969879 + (199^2) + (19^3) + (829*5) + (193*7) + 103 + 13,4,4,4
16038,488021951,488021953,488021951,2,488021951 + 2,,,,,,
16038,488021951,488021957,488021951,6,488021951 + (2*3),,,,,,
16038,488021951,488021959,488021957,2,488021957 + 2,,,,,,
16039,488157281,488157281,488021959,135322,488021959 + 122209 + 13009 + 101 + 3,488021959 + (67219*2) + (199*3) + (19*13) + 17 + 11 + 7 + 5,488021959 + (199^2) + (19^3) + (7^5) + (5659*11) + (197*17) + (193*13) + 1873 + 1871 + 103 + 101,488021959 + (2^17) + (13^3) + (199*5) + (107*7) + 197 + 101 + 11,4,4,4
16039,488157281,488157283,488157281,2,488157281 + 2,,,,,,
16039,488157281,488157287,488157281,6,488157281 + (2*3),,,,,,
16039,488157281,488157289,488157287,2,488157287 + 2,,,,,,
16040,488166311,488166311,488157289,9022,488157289 + 5659 + 3259 + 101 + 3,488157289 + (3469*2) + (199*7) + (193*3) + (19*5) + 17,488157289 + (19^3) + (17^2) + (199*7) + (13*5) + 197 + 107 + 101 + 11,488157289 + (2^13) + (7^3) + (19*17) + (11*5) + 109,4,4,4
16040,488166311,488166313,488166311,2,488166311 + 2,,,,,,
16040,488166311,488166317,488166311,6,488166311 + (2*3),,,,,,
16040,488166311,488166319,488166317,2,488166317 + 2,,,,,,
16041,488219981,488219981,488166319,53662,488166319 + 51349 + 2089 + 199 + 19 + (2*3),488166319 + (25309*2) + (829*3) + (19*17) + (7*5) + 199,488166319 + (199^2) + (19^3) + (829*7) + (197*5) + (17*13) + 193,488166319 + (199^2) + (19^3) + (829*7) + (197*5) + (17*13) + 193,4,4,4
16041,488219981,488219983,488219981,2,488219981 + 2,,,,,,
16041,488219981,488219987,488219981,6,488219981 + (2*3),,,,,,
16041,488219981,488219989,488219987,2,488219987 + 2,,,,,,
16042,488270171,488270171,488219989,50182,488219989 + 43789 + 5659 + 199 + 197 + 193 + 109 + 19 + 17,488219989 + (22279*2) + (1873*3) + 5,488219989 + (199^2) + (19^3) + (197*17) + (11*7) + 193 + 103,488219989 + (199^2) + (19^3) + (197*17) + (11*7) + 193 + 103,4,4,4
16042,488270171,488270173,488270171,2,488270171 + 2,,,,,,
16042,488270171,488270177,488270171,6,488270171 + (2*3),,,,,,
16042,488270171,488270179,488270177,2,488270177 + 2,,,,,,
16043,488352281,488352281,488270179,82102,488270179 + 81049 + 829 + 199 + 19 + (2*3),488270179 + (34849*2) + (3469*3) + (199*7) + (19*17) + (13*5) + 109 + 107,488270179 + (199^2) + (19^3) + (7^5) + (1489*11) + (109*13) + 829 + 193 + 17,488270179 + (5^7) + (13^3) + (19^2) + (101*11) + 199 + 109,4,4,4
16043,488352281,488352283,488352281,2,488352281 + 2,,,,,,
16043,488352281,488352287,488352281,6,488352281 + (2*3),,,,,,
16043,488352281,488352289,488352287,2,488352287 + 2,,,,,,
16044,488452661,488452661,488352289,100372,488352289 + 99139 + 829 + 199 + 197 + 5 + 3,488352289 + (43789*2) + (3469*3) + (199*11) + (19*7) + (13*5),488352289 + (199^2) + (19^3) + (7^5) + (3259*11) + (17*13) + 827 + 107 + 101,488352289 + (5^7) + (109^2) + (19^3) + (199*13) + 197 + 193 + 191 + 107 + 103 + 101 + 17 + 11,4,4,4
16044,488452661,488452663,488452661,2,488452661 + 2,,,,,,
16044,488452661,488452667,488452661,6,488452661 + (2*3),,,,,,
16044,488452661,488452669,488452667,2,488452667 + 2,,,,,,
16045,488523851,488523851,488452669,71182,488452669 + 69499 + 1489 + 191 + 3,488452669 + (34849*2) + (199*7) + (13*3) + 19 + 17 + 11 + 5,488452669 + (199^2) + (19^3) + (7^5) + (197*17) + (193*13) + (103*11) + 823 + 101,488452669 + (199^2) + (7^5) + (19^3) + (197*17) + (193*13) + (103*11) + 823 + 101,4,4,4
16045,488523851,488523853,488523851,2,488523851 + 2,,,,,,
16045,488523851,488523857,488523851,6,488523851 + (2*3),,,,,,
16045,488523851,488523859,488523857,2,488523857 + 2,,,,,,
16046,488543381,488543381,488523859,19522,488523859 + 19427 + 19 + 17 + 13 + 11 + (5*7),488523859 + (9439*2) + (199*3) + 19 + 17 + 11,488523859 + (109^2) + (19^3) + (107*7) + 17 + 11 + 5,488523859 + (7^5) + (13^3) + (17^2) + 199 + 19 + 11,2,2,2
16046,488543381,488543383,488543381,2,488543381 + 2,,,,,,
16046,488543381,488543387,488543381,6,488543381 + (2*3),,,,,,
16046,488543381,488543389,488543387,2,488543387 + 2,,,,,,
16047,488551751,488551751,488543389,8362,488543389 + 5659 + 2089 + 199 + 197 + 193 + 19 + (2*3),488543389 + (3469*2) + (199*7) + 17 + 11 + 3,488543389 + (19^3) + (17^2) + (199*5) + 109 + 103 + 7,488543389 + (2^13) + (19*3) + 101 + 7 + 5,4,4,4
16047,488551751,488551753,488551751,2,488551751 + 2,,,,,,
16047,488551751,488551757,488551751,6,488551751 + (2*3),,,,,,
16047,488551751,488551759,488551757,2,488551757 + 2,,,,,,
16048,488597951,488597951,488551759,46192,488551759 + 43789 + 2089 + 199 + 109 + (2*3),488551759 + (22279*2) + (199*7) + (19*11) + (5*3) + 17,488551759 + (199^2) + (17^3) + (197*7) + (19*5) + 193 + 11,488551759 + (199^2) + (17^3) + (197*7) + (19*5) + 193 + 11,4,4,4
16048,488597951,488597953,488597951,2,488597951 + 2,,,,,,
16048,488597951,488597957,488597951,6,488597951 + (2*3),,,,,,
16048,488597951,488597959,488597957,2,488597957 + 2,,,,,,
16049,488618561,488618561,488597959,20602,488597959 + 19429 + 829 + 199 + 109 + 19 + 17,488597959 + (9439*2) + (199*7) + (103*3) + 17 + 5,488597959 + (109^2) + (19^3) + (199*7) + (17*13) + (11*5) + 193,488597959 + (7^5) + (13^3) + (19^2) + (101*11) + 109 + 17,4,4,4
16049,488618561,488618563,488618561,2,488618561 + 2,,,,,,
16049,488618561,488618567,488618561,6,488618561 + (2*3),,,,,,
16049,488618561,488618569,488618567,2,488618567 + 2,,,,,,
16050,488636711,488636711,488618569,18142,488618569 + 18047 + 19 + 17 + 13 + 11 + (5*7),488618569 + (5659*3) + (199*5) + (19*7) + (13*2) + 11,488618569 + (109^2) + (17^3) + (199*5) + (13*11) + 191 + 19,488618569 + (7^5) + (19^2) + (193*3) + (17*11) + 107 + 101,2,2,2
16050,488636711,488636713,488636711,2,488636711 + 2,,,,,,
16050,488636711,488636717,488636711,6,488636711 + (2*3),,,,,,
16050,488636711,488636719,488636717,2,488636717 + 2,,,,,,
16051,488682371,488682371,488636719,45652,488636719 + 43789 + 1489 + 199 + 109 + 19 + 17 + 13 + 7 + 5 + 3 + 2,488636719 + (22279*2) + (199*5) + (11*7) + 19 + 3,488636719 + (199^2) + (17^3) + (197*5) + 103 + 19 + 13 + 11 + 7,488636719 + (199^2) + (17^3) + (197*5) + 103 + 19 + 13 + 11 + 7,2,2,2
16051,488682371,488682373,488682371,2,488682371 + 2,,,,,,
16051,488682371,488682377,488682371,6,488682371 + (2*3),,,,,,
16051,488682371,488682379,488682377,2,488682377 + 2,,,,,,
16052,488700671,488700671,488682379,18292,488682379 + 18049 + 199 + 19 + 17 + 5 + 3,488682379 + (5659*3) + (199*5) + (109*2) + (13*7) + 11,488682379 + (109^2) + (17^3) + (199*5) + (19*11) + 193 + 101,488682379 + (7^5) + (11^3) + (19*2) + 103 + 13,6,5,4
16052,488700671,488700673,488700671,2,488700671 + 2,,,,,,
16052,488700671,488700677,488700671,6,488700671 + (2*3),,,,,,
16052,488700671,488700679,488700677,2,488700677 + 2,,,,,,
16053,488773091,488773091,488700679,72412,488700679 + 72229 + 109 + 19 + 17 + (5*7) + 3,488700679 + (34849*2) + (829*3) + (19*11) + 13 + 5,488700679 + (199^2) + (19^3) + (7^5) + (821*11) + 101 + 13,488700679 + (199^2) + (7^5) + (19^3) + (821*11) + 101 + 13,2,2,2
16053,488773091,488773093,488773091,2,488773091 + 2,,,,,,
16053,488773091,488773097,488773091,6,488773091 + (2*3),,,,,,
16053,488773091,488773099,488773097,2,488773097 + 2,,,,,,
16054,488910131,488910131,488773099,137032,488773099 + 135469 + 1489 + 19 + 17 + (5*7) + 3,488773099 + (67219*2) + (829*3) + (13*7) + 11 + 5,488773099 + (199^2) + (19^3) + (7^5) + (5659*11) + (197*17) + (193*13) + 3253 + 1483 + 821 + 101,488773099 + (2^17) + (13^3) + (199*11) + (193*7) + 103 + 101 + 19,4,4,4
16054,488910131,488910133,488910131,2,488910131 + 2,,,,,,
16054,488910131,488910137,488910131,6,488910131 + (2*3),,,,,,
16054,488910131,488910139,488910137,2,488910137 + 2,,,,,,
16055,488916971,488916971,488910139,6832,488910139 + 5659 + 829 + 199 + 109 + 19 + 17,488910139 + (3259*2) + (103*3) + 5,488910139 + (19^2) + (17^3) + (199*5) + (13*11) + 197 + 109 + 107 + 7,488910139 + (17^3) + (19^2) + (199*5) + (13*11) + 197 + 109 + 107 + 7,4,4,4
16055,488916971,488916973,488916971,2,488916971 + 2,,,,,,
16055,488916971,488916977,488916971,6,488916971 + (2*3),,,,,,
16055,488916971,488916979,488916977,2,488916977 + 2,,,,,,
16056,488929541,488929541,488916979,12562,488916979 + 9439 + 2089 + 829 + 199 + (2*3),488916979 + (5659*2) + (199*5) + (19*11) + 17 + 13 + 7 + 3,488916979 + (109^2) + (7^3) + (19*11) + 107 + 17 + 5,488916979 + (109^2) + (7^3) + (19*11) + 107 + 17 + 5,4,4,4
16056,488929541,488929543,488929541,2,488929541 + 2,,,,,,
16056,488929541,488929547,488929541,6,488929541 + (2*3),,,,,,
16056,488929541,488929549,488929547,2,488929547 + 2,,,,,,
16057,488979941,488979941,488929549,50392,488929549 + 43789 + 5659 + 829 + 109 + (2*3),488929549 + (22279*2) + (1879*3) + (19*5) + (13*7) + 11,488929549 + (199^2) + (19^3) + (197*17) + (13*11) + (7*5) + 193 + 109 + 103,488929549 + (199^2) + (19^3) + (197*17) + (13*11) + (7*5) + 193 + 109 + 103,4,4,4
16057,488979941,488979943,488979941,2,488979941 + 2,,,,,,
16057,488979941,488979947,488979941,6,488979941 + (2*3),,,,,,
16057,488979941,488979949,488979947,2,488979947 + 2,,,,,,
16058,489041711,489041711,488979949,61762,488979949 + 55339 + 5659 + 199 + 197 + 193 + 109 + 19 + 17 + 13 + 7 + 5 + 3 + 2,488979949 + (25309*2) + (3469*3) + (109*5) + (13*7) + 101,488979949 + (199^2) + (19^3) + (2089*7) + (107*5) + 103 + 17 + 13 + 11,488979949 + (199^2) + (7^5) + (17^3) + (13*11) + 197 + 101,4,4,4
16058,489041711,489041713,489041711,2,489041711 + 2,,,,,,
16058,489041711,489041717,489041711,6,489041711 + (2*3),,,,,,
16058,489041711,489041719,489041717,2,489041717 + 2,,,,,,
16059,489046091,489046091,489041719,4372,489041719 + 3469 + 829 + 19 + 17 + (5*7) + 3,489041719 + (2089*2) + (19*7) + (13*3) + 17 + 5,489041719 + (19^2) + (13^3) + (199*7) + 197 + 191 + 17 + 11 + 5,489041719 + (13^3) + (2^11) + 103 + 19 + 5,4,4,4
16059,489046091,489046093,489046091,2,489046091 + 2,,,,,,
16059,489046091,489046097,489046091,6,489046091 + (2*3),,,,,,
16059,489046091,489046099,489046097,2,489046097 + 2,,,,,,
16060,489049901,489049901,489046099,3802,489046099 + 3469 + 199 + 109 + 19 + (2*3),489046099 + (1879*2) + (13*3) + 5,489046099 + (19^2) + (13^3) + (191*5) + (11*7) + 109 + 103,489046099 + (13^3) + (19^2) + (191*5) + (11*7) + 109 + 103,4,4,4
16060,489049901,489049903,489049901,2,489049901 + 2,,,,,,
16060,489049901,489049907,489049901,6,489049901 + (2*3),,,,,,
16060,489049901,489049909,489049907,2,489049907 + 2,,,,,,
16061,489073721,489073721,489049909,23812,489049909 + 22279 + 1489 + 19 + 17 + 5 + 3,489049909 + (9439*2) + (1489*3) + (19*17) + (7*5) + 109,489049909 + (109^2) + (19^3) + (829*5) + (103*7) + 193 + 13,489049909 + (7^5) + (19^3) + (17*2) + 101 + 11,4,4,4
16061,489073721,489073723,489073721,2,489073721 + 2,,,,,,
16061,489073721,489073727,489073721,6,489073721 + (2*3),,,,,,
16061,489073721,489073729,489073727,2,489073727 + 2,,,,,,
16062,489089891,489089891,489073729,16162,489073729 + 16067 + 19 + 17 + 13 + 11 + (5*7),489073729 + (5659*2) + (1489*3) + (19*13) + (17*7) + 11,489073729 + (109^2) + (13^3) + (199*7) + (19*11) + (17*5) + 193 + 103 + 101,489073729 + (109^2) + (13^3) + (199*7) + (19*11) + (17*5) + 193 + 103 + 101,2,2,2
16062,489089891,489089893,489089891,2,489089891 + 2,,,,,,
16062,489089891,489089897,489089891,6,489089891 + (2*3),,,,,,
16062,489089891,489089899,489089897,2,489089897 + 2,,,,,,
16063,489154901,489154901,489089899,65002,489089899 + 62989 + 1879 + 109 + 19 + (2*3),489089899 + (31729*2) + (199*7) + (19*5) + (13*3) + 17,489089899 + (199^2) + (19^3) + (7^5) + (101*13) + 193 + 109 + 103 + 17,489089899 + (199^2) + (7^5) + (19^3) + (101*13) + 193 + 109 + 103 + 17,4,4,4
16063,489154901,489154903,489154901,2,489154901 + 2,,,,,,
16063,489154901,489154907,489154901,6,489154901 + (2*3),,,,,,
16063,489154901,489154909,489154907,2,489154907 + 2,,,,,,
